Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ENR,Energizer Holdings Inc.,36.6,2520,2015,Miscellaneous,Industrial Machinery Components,https://www.nasdaq.com/symbol/enr
EVTC,Evertec Inc.,35.08,2520,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/evtc
CXP,Columbia Property Trust Inc.,21.43,2510,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cxp
R,Ryder System Inc.,46.98,2510,1900,Consumer Services,Rental-Leasing Companies,https://www.nasdaq.com/symbol/r
SPB           ,Spectrum Brands Holdings Inc.,51.48,2510,1900,Miscellaneous,Industrial Machinery Components,https://www.nasdaq.com/symbol/spb
CNS,Cohen & Steers Inc,53,2500,2004,Finance,Investment Managers,https://www.nasdaq.com/symbol/cns
BRC,Brady Corporation,47.1,2490,1900,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/brc
MTH,Meritage Corporation,64.98,2490,1900,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/mth
PDM,Piedmont Office Realty Trust Inc.,19.79,2490,1900,Consumer Services,Building operators,https://www.nasdaq.com/symbol/pdm
IGT,International Game Technology,12.14,2480,2015,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/igt
KBH,KB Home,28.11,2480,1986,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh
INT,World Fuel Services Corporation,37.94,2480,1900,Energy,Oil Refining-Marketing,https://www.nasdaq.com/symbol/int
EGHT,8x8 Inc,24.85,2470,1900,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
ABM,ABM Industries Incorporated,37.23,2470,1900,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
LXP,Lexington Realty Trust,10.42,2450,1900,Not Available,Not Available,https://www.nasdaq.com/symbol/lxp
SITC,SITE Centers Corp.,13.57,2450,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sitc
TMHC,Taylor Morrison Home Corporation,23.23,2450,2013,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/tmhc
CHK,Chesapeake Energy Corporation,1.49,2440,1900,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/chk
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.04,2430,2007,Not Available,Not Available,https://www.nasdaq.com/symbol/exg
GEL,Genesis Energy L.P.,19.82,2430,1996,Energy,Oil Refining-Marketing,https://www.nasdaq.com/symbol/gel
PVG,Pretium Resources Inc.,13.19,2430,1900,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pvg
PRLB,Proto Labs Inc.,90.56,2430,2012,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/prlb
STN,Stantec Inc,21.65,2420,1900,Consumer Services,Military-Government-Technical,https://www.nasdaq.com/symbol/stn
ITGR,Integer Holdings Corporation,73.84,2410,1900,Miscellaneous,Industrial Machinery Components,https://www.nasdaq.com/symbol/itgr
THO,Thor Industries Inc.,43.7,2410,1900,Consumer Non-Durables,Homebuilding,https://www.nasdaq.com/symbol/tho
RPAI,Retail Properties of America Inc.,11.18,2390,2012,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rpai
SEAS,SeaWorld Entertainment Inc.,30.37,2390,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/seas
DK,Delek US Holdings Inc.,31.61,2380,2017,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/dk
NVTA,Invitae Corporation,24.97,2380,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/nvta
ROG,Rogers Corporation,128,2380,1900,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/rog
FLR,Fluor Corporation,16.92,2370,1900,Basic Industries,Military-Government-Technical,https://www.nasdaq.com/symbol/flr
KOS,Kosmos Energy Ltd.,5.9,2370,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/kos
POL,PolyOne Corporation,30.85,2370,1900,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/pol
AUO,AU Optronics Corp,2.45,2360,2002,Technology,Semiconductors,https://www.nasdaq.com/symbol/auo
GTES,Gates Industrial Corporation plc,8.14,2360,2018,Technology,Industrial Machinery Components,https://www.nasdaq.com/symbol/gtes
NZF,Nuveen Municipal Credit Income Fund,16.43,2340,2007,Not Available,Not Available,https://www.nasdaq.com/symbol/nzf
TCO,Taubman Centers Inc.,38,2330,1992,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/tco
ATI,Allegheny Technologies Incorporated,18.44,2320,1900,Basic Industries,Steel-Iron Ore,https://www.nasdaq.com/symbol/ati
KMT,Kennametal Inc.,28.16,2320,1900,Capital Goods,Industrial Machinery Components,https://www.nasdaq.com/symbol/kmt
TRTN,Triton International Limited,31.34,2320,2016,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/trtn
AKR,Acadia Realty Trust,27.38,2310,1900,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ENS,Enersys,53.97,2290,2004,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/ens
ARGO,Argo Group International Holdings Ltd.,66.45,2280,1900,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/argo
MDC,M.D.C. Holdings Inc.,36.84,2280,1900,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/mdc
WK,Workiva Inc.,49.4,2280,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/wk
YELP,Yelp Inc.,32.03,2280,2012,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/yelp
